n,n:500,L50,min,N75,N50,N25,E-size,max,sum,name
119,37,3,548,297391,477182,990577,637849,1024301,4124459,abyssoutput_April9-unitigs.fa
99,24,3,548,297657,477807,991598,643023,1024464,4127911,abyssoutput_April9-contigs.fa
87,22,2,548,297657,1024464,1060944,816351,1060944,4128811,abyssoutput_April9-scaffolds.fa
